Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Change,Cummulative change
26-Feb-2016,17120.55,17173.65,16953.55,17074.65,77070387,2409.83,0.72,-13.24
29-Feb-2016,17123.4,17264.85,16769.5,17118.15,117800462,3400.15,0.25,-13.02
01-Mar-2016,17186.45,17698.65,17177.85,17669.25,92867804,2745.59,3.22,-10.22
02-Mar-2016,17844.15,18041.2,17844.15,17901.55,97864879,3023.56,1.31,-9.04
03-Mar-2016,18004.2,18047.8,17882.75,18030.8,87847213,2717.63,0.72,-8.38
04-Mar-2016,18085.75,18217.15,17990.25,18181.2,98104531,2655.76,0.83,-7.62
08-Mar-2016,18183.6,18338.6,18105.9,18208.65,95400150,2849.59,0.15,-7.48
09-Mar-2016,18132.4,18263.35,18058.25,18253.3,98665224,2656.86,0.25,-7.25
10-Mar-2016,18296.6,18350.05,18153.55,18178.2,78103564,2468.05,-0.41,-7.63
11-Mar-2016,18168.55,18308.2,18134.15,18232.1,76053815,2600.38,0.30,-7.36
14-Mar-2016,18335.35,18397.25,18226.45,18286.55,65072692,2051.84,0.30,-7.08
15-Mar-2016,18299.65,18302,18070.8,18111.05,67832928,2358.44,-0.96,-7.97
16-Mar-2016,18092.7,18095.65,17833.1,18038.95,72264989,2358.99,-0.40,-8.34
17-Mar-2016,18196,18278.6,18134.85,18182.35,86762499,2670.9,0.79,-7.61
18-Mar-2016,18210.7,18312.9,18085.4,18284.9,85708111,2797.4,0.56,-7.09
21-Mar-2016,18341.85,18587.4,18341.85,18549.6,83227094,2348.98,1.45,-5.74
22-Mar-2016,18585.45,18686.6,18458.75,18621.3,87376061,2629.87,0.39,-5.38
23-Mar-2016,18635.2,18672.2,18561.75,18648.4,74378764,2118.56,0.15,-5.24
28-Mar-2016,18688.4,18704.8,18333.45,18376.45,74279400,1911.35,-1.46,-6.62
29-Mar-2016,18349.45,18435.45,18210.45,18369.6,77323219,2219.4,-0.04,-6.66
30-Mar-2016,18473.75,18683.4,18473.75,18659.15,82900902,2600.37,1.58,-5.19
31-Mar-2016,18689.5,18808.15,18568.35,18756.6,146306203,4265.09,0.52,-4.69
01-Apr-2016,18720,18809.8,18667.35,18761.3,103453505,1987.82,0.03,-4.67
04-Apr-2016,18844.95,18847.55,18741.25,18810.4,88124788,1747.89,0.26,-4.42
05-Apr-2016,18752.45,18776.15,18506.45,18530,103490250,2123.68,-1.49,-5.84
06-Apr-2016,18563.95,18678.85,18462.1,18643.35,104810512,2322.37,0.61,-5.27
07-Apr-2016,18705.1,18705.1,18531.35,18563.9,84158167,1696.11,-0.43,-5.67
08-Apr-2016,18554,18674.1,18516.9,18656.35,76064920,1570.87,0.50,-5.20
11-Apr-2016,18687.75,18832,18617.55,18820.05,93094789,1977.09,0.88,-4.37
12-Apr-2016,18861.55,18975.55,18852.15,18955.4,88962335,2199.58,0.72,-3.68
13-Apr-2016,19103.85,19221.25,19095.95,19170.6,121048797,2640.28,1.14,-2.59
18-Apr-2016,19182.8,19384.35,19168.6,19369.15,98336504,2396.36,1.04,-1.58
20-Apr-2016,19435.5,19506.15,19331.7,19395.1,138871709,2995.47,0.13,-1.45
21-Apr-2016,19487.15,19531.35,19317.55,19388.25,122851434,2704.64,-0.04,-1.48
22-Apr-2016,19379.8,19463.1,19338.5,19417.75,115848108,2213.18,0.15,-1.33
25-Apr-2016,19404.1,19427,19250.8,19295.45,86944384,1979.24,-0.63,-1.95
26-Apr-2016,19276.3,19429.2,19226.7,19412.8,106622352,2521.94,0.61,-1.36
27-Apr-2016,19416.15,19549.2,19400.35,19470.85,133898048,1887.41,0.30,-1.06
28-Apr-2016,19494.5,19531.05,19222.8,19240.4,169573925,3187.15,-1.18,-2.23
